ID_Country,Name,Region
152,Panama,Latin America & Caribbean
153,Peru,Latin America & Caribbean
154,Philippines,East Asia & Pacific
155,Palau,East Asia & Pacific
156,Papua New Guinea,East Asia & Pacific
157,Poland,Europe & Central Asia
158,Puerto Rico,Latin America & Caribbean
159,Korea Dem. People's Rep.,East Asia & Pacific
160,Portugal,Europe & Central Asia
161,Paraguay,Latin America & Caribbean
162,West Bank and Gaza,Middle East & North Africa
163,French Polynesia,East Asia & Pacific
164,Qatar,Middle East & North Africa
165,Romania,Europe & Central Asia
166,Russian Federation,Europe & Central Asia
167,Rwanda,Sub-Saharan Africa
168,Saudi Arabia,Middle East & North Africa
169,Sudan,Sub-Saharan Africa
170,Senegal,Sub-Saharan Africa
171,Singapore,East Asia & Pacific
172,Solomon Islands,East Asia & Pacific
173,Sierra Leone,Sub-Saharan Africa
174,El Salvador,Latin America & Caribbean
175,San Marino,Europe & Central Asia
176,Somalia,Sub-Saharan Africa
177,Serbia,Europe & Central Asia
178,South Sudan,Sub-Saharan Africa
179,São Tomé and Principe,Sub-Saharan Africa
180,Suriname,Latin America & Caribbean
181,Slovak Republic,Europe & Central Asia
182,Slovenia,Europe & Central Asia
183,Sweden,Europe & Central Asia
184,Eswatini,Sub-Saharan Africa
185,Sint Maarten (Dutch part),Latin America & Caribbean
186,Seychelles,Sub-Saharan Africa
187,Syrian Arab Republic,Middle East & North Africa
188,Turks and Caicos Islands,Latin America & Caribbean
189,Chad,Sub-Saharan Africa
190,Togo,Sub-Saharan Africa
191,Thailand,East Asia & Pacific
192,Tajikistan,Europe & Central Asia
193,Turkmenistan,Europe & Central Asia
194,Timor-Leste,East Asia & Pacific
195,Tonga,East Asia & Pacific
196,Trinidad and Tobago,Latin America & Caribbean
197,Tunisia,Middle East & North Africa
198,Türkiye,Europe & Central Asia
199,Tuvalu,East Asia & Pacific
200,Tanzania,Sub-Saharan Africa
201,Uganda,Sub-Saharan Africa
202,Ukraine,Europe & Central Asia
203,Uruguay,Latin America & Caribbean
204,United States,North America
205,Uzbekistan,Europe & Central Asia
206,St. Vincent and the Grenadines,Latin America & Caribbean
207,Venezuela RB,Latin America & Caribbean
208,British Virgin Islands,Latin America & Caribbean
209,Virgin Islands (U.S.),Latin America & Caribbean
210,Viet Nam,East Asia & Pacific
211,Vanuatu,East Asia & Pacific
212,Samoa,East Asia & Pacific
213,Kosovo,Europe & Central Asia
214,Yemen Rep.,Middle East & North Africa
215,South Africa,Sub-Saharan Africa
216,Zambia,Sub-Saharan Africa
217,Zimbabwe,Sub-Saharan Africa
